step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
103,CASH_OUT,4609.140465729423,O0,311.4255613118031,103462.56045533366,D0,9228.83878270887,35556.84604480969,0
436,CASH_IN,19332.376037825015,O1,81244.84995098633,4730.268933954426,D1,31953.791945329674,2769.3927625499373,0
271,CASH_OUT,8622.725500409793,O2,5161.7947877318475,9923.138975122869,D2,26163.50493796493,54689.694714201796,0
107,CASH_OUT,721.1944348692656,O3,1872.467254482674,3070.704799949196,D3,33764.69534543746,37670.46565344762,0
72,CASH_OUT,368.9641629071564,O4,283468.37124599935,35154.36259507505,D4,15153.680284241085,1684.2503385944917,0
701,PAYMENT,4212.315969208104,O5,2806.824441623936,82211.93606818683,D5,71497.73774692236,19745.944625557975,0
21,CASH_IN,9245.745055998957,O6,49495.183755521095,95693.47835909316,D6,32820.904123879205,25141.314881606093,0
615,PAYMENT,7077.337113148742,O7,125196.917951725,47947.580461358644,D7,19877.176912025658,62587.29906972316,0
122,PAYMENT,4924.939150117879,O8,58546.194075460124,45067.604722048236,D8,46854.369038066216,11510.913984274244,0
467,CASH_OUT,9006.041588294545,O9,10939.970192498857,38020.68622911768,D9,82019.8862653269,146922.5110326952,0
215,CASH_IN,697.3255508251701,O10,11527.336415113838,27241.622769506474,D10,129828.9109094045,1304.292605126163,0
331,CASH_IN,3182.241806666982,O11,38707.9810212692,4982.558159792451,D11,41868.4102720651,73138.98323092582,0
459,CASH_OUT,7787.398611932866,O12,3148.053835956141,7878.444181724008,D12,24569.42001567125,155436.5778453557,0
88,TRANSFER,871.2265169208886,O13,40460.88511698404,37013.15752858619,D13,7294.313998271942,106699.28861394174,0
373,CASH_IN,2337.4776317746087,O14,29727.392971912774,69320.657923903,D14,5464.546121992441,3683.1540894906425,0
100,PAYMENT,3073.7322655902503,O15,24728.26591032468,77858.40358818849,D15,28772.425950091525,15997.579766356559,0
664,CASH_IN,389.8293641692351,O16,31611.712496280325,33561.920064701386,D16,193214.90344478114,2256.8756239671357,0
131,CASH_IN,113.88987789011738,O17,32548.489828664227,44633.9241959539,D17,20649.14556874893,140943.16118546957,0
662,CASH_OUT,3542.5114848762373,O18,37305.02556099485,4631.6806306835615,D18,23318.752678564106,13477.514210872927,0
309,TRANSFER,11874.582607426162,O19,66878.30317862895,44130.667757032825,D19,111553.02652806844,25197.160541322337,0
344,CASH_IN,541.4134780831265,O20,51612.890114056885,79597.08636430441,D20,36726.406716972284,131716.3801435642,0
492,CASH_OUT,693.2290038374456,O21,14226.885441013912,48245.35789126872,D21,58045.74405651612,57780.966668025656,0
414,CASH_IN,296.73925365633505,O22,52113.24407011635,1782.7918584236925,D22,16118.582329886136,98610.96657910559,0
386,CASH_IN,2248.3109882077833,O23,356.4040237533042,139204.45820198537,D23,4436.523042372159,55379.85656047676,0
192,PAYMENT,2504.2770931381338,O24,33579.1345475366,40101.12207723613,D24,6793.520720910903,24907.85326125017,0
277,TRANSFER,20467.49614447318,O25,4050.345376773634,5150.379348821082,D25,65326.934899347965,810.7532472275819,0
161,PAYMENT,8654.552552812173,O26,81749.9639637516,26832.35692330776,D26,60315.19636880441,19539.97364841065,0
460,CASH_OUT,2274.696041010076,O27,5925.126236361494,1850.8448427286164,D27,103191.5400773611,18316.952909812037,0
314,CASH_IN,2396.0582205897695,O28,118111.00888156683,138921.799878385,D28,32587.498687182782,75001.22995446969,0
22,CASH_IN,2691.336133149054,O29,30241.299252619116,39156.50489253912,D29,54893.31133595054,106091.01079349533,0
253,CASH_OUT,4462.266181649414,O30,9739.314392341996,20910.34034894451,D30,51971.46341768601,65317.9970870051,0
561,TRANSFER,10456.528436630346,O31,40341.12642636851,4082.8728631006406,D31,100808.74402643536,16380.263169067135,0
475,TRANSFER,1303.7390619368925,O32,52156.1333380345,3626.144321548162,D32,25637.25470053922,112218.33563643202,0
59,TRANSFER,1408.9137069498204,O33,54237.83634991197,18442.634739475023,D33,40862.739463703314,37536.74911728947,0
511,PAYMENT,23252.62249911312,O34,87122.45931230373,37552.40336170733,D34,41146.13368167716,1772.5978188146769,0
682,TRANSFER,3358.5225758968145,O35,45218.35145447198,37222.90606747517,D35,2804.471410141813,21631.44053866954,0
476,TRANSFER,5767.480536235929,O36,11515.87373000848,53819.33328765156,D36,297279.087532601,8457.699813975816,0
700,DEBIT,8260.02108634287,O37,29022.12318150132,51956.233833952196,D37,151595.3578537446,24648.74759024828,0
190,DEBIT,3359.870313095391,O38,79136.5439329056,180184.41879204765,D38,10965.506186779055,6435.41072149517,0
687,PAYMENT,82.72786315502174,O39,28627.41383747812,5174.210487757541,D39,43438.770652737716,32926.913664952146,0
563,CASH_OUT,6924.780689358973,O40,5018.575624511673,65489.91177685135,D40,74994.41909574889,36187.2093266555,0
567,PAYMENT,4374.723772847054,O41,93360.93479107614,33639.204319566954,D41,1093.6759969706432,21380.517143640707,0
244,PAYMENT,10507.45889562016,O42,177697.00380839975,90055.07000906435,D42,11509.524525032282,30662.707315760777,0
505,TRANSFER,8063.39463866794,O43,95998.47867251093,88122.70343844254,D43,120191.90833723782,50555.88236851386,0
131,TRANSFER,2512.2622423806865,O44,302.72124084547625,117901.97235176418,D44,28177.223059034557,41269.35446306949,0
485,TRANSFER,217.69206353692792,O45,291407.58814671886,123151.20157703689,D45,154117.25505909842,4918.592092071428,0
647,PAYMENT,3989.960245743931,O46,30206.5168982683,10808.513242986048,D46,32556.500040386294,7726.993017154466,0
21,PAYMENT,19856.331301706152,O47,20824.156809590542,8732.457575141183,D47,36203.6956814198,43617.718588029835,0
167,CASH_OUT,940.351265189185,O48,8459.36970580542,8099.97699677604,D48,39485.90765917109,61942.75430275255,0
274,CASH_IN,3538.5425654037817,O49,51856.646416449206,16623.130596820545,D49,87966.32930167543,39295.21295493446,0
388,TRANSFER,638.3013474171005,O50,20999.54904481115,216481.15693215927,D50,67688.49807754556,194388.75004180692,0
601,TRANSFER,14001.268517654946,O51,110417.22310898847,24782.337829622276,D51,18568.626887247792,39688.20774506538,0
316,PAYMENT,8781.330770573308,O52,30038.89734703789,12292.935723436323,D52,40167.494794409016,32838.79291740377,0
14,DEBIT,3852.258555791439,O53,17157.60378612038,17914.595697047374,D53,134323.90861423683,99368.27642334286,0
242,PAYMENT,5090.6225290330185,O54,5398.936428391165,163644.79987033174,D54,114773.86122224534,40558.47416453369,0
346,CASH_IN,5190.770234513728,O55,43347.97637266997,20279.319173718617,D55,86336.20339030027,61063.589285614005,0
565,PAYMENT,15378.323063780295,O56,56262.67750485332,2213.3983111768543,D56,12115.088885560272,34400.37969556943,0
340,CASH_OUT,17684.424403210298,O57,1014.0378725018785,121189.31573311174,D57,108085.71422936389,728.8768469581648,0
92,DEBIT,5471.73139265276,O58,111459.37568712184,190274.9655108641,D58,16962.741506983362,12466.870399305915,0
367,TRANSFER,1740.7745006604691,O59,312.92387793197304,12157.798526404922,D59,100875.3647314024,3136.8363618219505,0
455,CASH_OUT,5100.90663527294,O60,35005.102139199706,24668.982749795683,D60,23336.93834733389,143.97950958100526,0
428,PAYMENT,4059.3117244417003,O61,14217.059104929443,25235.546301907772,D61,158708.66059147994,3592.6340819269267,0
509,PAYMENT,7779.9505454743685,O62,167112.35120601134,52217.09592763766,D62,49679.70786439302,31718.195702711517,0
35,CASH_OUT,9945.203072016346,O63,31333.330281183218,1247.5861178621858,D63,34796.730829520064,81456.07403565894,0
206,CASH_IN,5075.5830669249835,O64,116695.97363813722,28275.773190240077,D64,78034.00413402292,28146.11056546068,0
81,CASH_IN,3637.231248073991,O65,141584.71679965025,42823.17610135613,D65,70809.31479771729,147668.45537080517,0
562,PAYMENT,9722.281215601823,O66,24787.275925331032,5006.029542974469,D66,135395.13690339262,81962.49019156538,0
388,CASH_OUT,2955.8052153060153,O67,51948.765832070945,23055.906536332604,D67,161043.70722575282,117754.31415244986,0
2,PAYMENT,3242.369129633113,O68,36197.65494755918,302007.82388863777,D68,2795.513076117976,100515.7292459985,0
390,PAYMENT,86.45830863358236,O69,18355.232273167778,2774.136798538957,D69,34477.44979864273,3912.496933175038,0
566,TRANSFER,372.94715473808844,O70,44533.20769732932,125424.58675657901,D70,39955.29423630554,44459.56668680876,0
106,DEBIT,2806.947127965477,O71,32891.74587264952,19463.009542977798,D71,61837.51427363294,52622.85515500772,0
477,CASH_OUT,38.20308602345654,O72,29803.273784570938,16565.927243601054,D72,15567.28859404791,25107.83774769859,0
